Player Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Michael Atherton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,335,0,0,466,733,1137,1392,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charles Athey ,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,142,761,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Richard Austin ,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arshad Ayub ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76,110,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kirtivardhan Azad ,0,0,0,0,0,0,0,0,0,0,34,126,0,56,112,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mohammad Azharuddin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,972,1489,1970,2252,2774,3003,3655,4424,5113,5399,6330,7434,8702,9110,9378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sheik Bacchus ,0,0,0,0,0,0,0,0,0,0,157,232,377,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Bailey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,11,54,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Bairstow ,0,0,0,0,0,0,0,0,0,56,155,176,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sikander Bakht ,0,0,0,0,0,0,0,0,16,19,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Subroto Banerjee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eldine Baptiste ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,119,0,14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wasim Bari ,0,0,0,21,0,3,5,7,38,64,0,4,22,103,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Graham Barlow ,0,0,0,0,0,0,80,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
