Aamer Hameed
Aamer Hanif
Aamer Malik
Aamer Yamin
Aamir Kaleem
Aamir Nazir
Aamir Sohail
Aaqib Javed
Aarif Sheikh
Aaron  V R
Ankrah  D N A
Ankur Sharma
Ansari  M
Ansari  Z S
Anshuman Rath
Anthony  H A G
Anurasiri  S D
Anwar Ali
Anwar Hossain
Anwar Hossain Monir
Anwar Hussain
Anwar Khan
Aponso  G J A
Aponso  M A
Appleyard  R
Appu  S
Apte  A L
Apte  M L
Aqib Ilyas
Aquilina  S E
Arachchige  S
Arafat Sunny
Aravind  S
Archer  A G
Archer  J C
Archer  K A
Archer  R G
Arif Butt
Ariful Haque
Arinaitwe  Z
Armitage  T
Armstrong  W W
Arnel  B J
Arnold  E G
Arnold  G G
Arnold  J
Arnold  R P
Arnott  K J
Arora  B
Arora  P
Arsalan Qadir
Arshad Ali
Arshad Ayub
Arshad Khan
Arshad Laeeq
Arshad Pervez
Arthurton  K L T
Arun  B
Arun Lal
Asad Ali
Asad Mohammad
Asad Shafiq
Asgarli  N R
Asghar Afghan
Asghar Ali
Ashfaq Ahmed
Ashfaq Ahmed
Ashiqullah Said
Ashley  W H
Ashraf Ali
Ashwin  R
Asif Ali
Asif Iqbal
Asif Iqbal
Asif Mahmood
Asif Masood
Asif Mujtaba
Asim Butt
Asim Kamal
Asim Saeed
Astill  W E
Astle  N J
Astle  T D
Atai  S
Atapattu  M S
Ata-Ur-Rehman
Ateak  S
Ateak  V
Athar Ali Khan
Atherton  M A
Athey  C W J
Atif Ali Khan
Atif Mehmood
Atif Rauf
Atiq-Uz-Zaman
Atkinson  D S E
Atkinson  E S E
Atkinson   J J
Attewell  W
Aulakh  M S
Austin  I D
Austin  R A
Austin  R A
Awais Ahmed
Awais Malik
Awais Zia
Awana  P
Ayannaike  A J
Azad  K
Azam Khan
Azeem Hafeez
Azhar Ali
Azhar Hossain
Azhar Khan
Azhar Mahmood
Azhar Saeed
Azharuddin  M
Aziz Mohammad
Azmat Rana
Baaleri  F
Baard  S J
Babar Ali
Babar Azam
Babar Hayat
Bacchus  S F A
Bacher  A A
Bacher  A M
Badani  H K
Badcock  C L
Badcock  F T
Badree  S
Badrinath  S
Bagabena  K S
Bagai  A
Bahutule  S V
Baichan  L
Baidwan  H S
Baig  A A
Bailey  G J
Bailey  M D
Bailey  R J
Bailey  T E
Bairstow  D L
Bairstow  J M
Baker  L S
Bakewell  A H
Bakiweyem  G
Bakker  P
Baksh  S
Bakum  R
Balaji  L
Balaji Rao  W D
Balakrishnan  V
Balaskas  X C
Balbirnie  A
Balderstone  J C
Baljit Singh
Ball  J T
Ballance  G S
Bancroft  C T
Bandara  C M
Bandara  K M C
Bandarathilake  M R C
Banerjee  B
Banerjee  S A
Banerjee  S N
Banerjee  S T
Bangar  S B
Banks  O A C
Banner  A A
Banner  G
Banner  G G
Banner  H H
Bannerman  A C
Bannerman  C
Baptiste  E A E
Baqua Jilani  M
Barath  A B
Barber  R T
Barber  R W
Barber  W
Bardsley  W
Barlow  E J
Barlow  G D
Barlow  R G
Barnes  S F
Barnes  S G
Barnes  W
Barnett  B A
Barnett  C J
Barnett  G E F
Barnett  K J
Barnwell  C D
Barratt  F
Barresi  W
Barrett  A G
Barrett  J E
Barrington  K F
Barrow  I
Bartlett  E L
Bartlett  G A
Barton  P T
Barton  V A
Bascombe  M C
Bascombe  O
Basden  D M
Basit Ali
Bastiampillai  T C
Bates  M D
Bates  W
Batty  G J
Batuwitarachchi  I P P
Bau  D
Bau  S
Baugh  C S
Baumgartner  H V
Bavuma  T
Bazid Khan
Bean  G
Beard  D D
Beard  G R
Beaton  R R
Beaumont  R
Beck  J E F
Bedade  A C
Bedi  B S
Bedser  A V
Beer  M A
Begbie  D W
Behardien  F
Behrendorff  J P
Bell  A J
Bell  I R
Bell  M D
Bell  W
Benaud  J
Benaud  R
Benjamin  J E
Benjamin  K C G
Benjamin  W K M
Benkenstein  D M
Benn  S J
Bennett  H K
Bennett  M J
Benson  M R
Berenger  A R
Bernard  D E
Berrington  R D
Berry  R
Bess  B J
Bess  D M
Best  C A
Best  T L
Betancourt  N
Bevan  M G
Bhandari  A
Bhandari  B
Bhandari  L S
Bhandari  P
Bharat Patel  P
Bhardwaj  R Vijay
Bhat  A R
Bhattarai  A
Bhatti  R A
Bhatti  U
Bhudia  R L
Bhudia  S R
Bhupinder Singh
Bichel  A J
Bicknell  M P
Biddappa  M P
Bilal Asif
Bilal Khan
Bilawal Bhatti
Bilby  G P
Billcliff  I S
Billings  S W
Binks  J G
Binns  A P
Binny  R M H
Binny  S T R
Bird  J M
Bird  M C
Birkenshaw  J
Birkenstock  K
Birkett  L S
Birt  T R
Bishoo  D
Bishop  G A
Bishop  I R
Bisset  M
Bissett  G F
Black  M I
Blackham  J M
Blackie  D D J
Blackwell  I D
Blackwood  J
Blain  J A R
Blain  T E
Blair  B R
Blair  R W
Blake  C C
Blake  D L
Blakeney  G
Blakey  R J
Blanckenberg  J M
Bland  K C
Blewett  G S
Bligh  I F W
Blignaut  A M
Blundell  T A
Blunt  R C
Blythe  C
Board  J H
Bock  E G
Bodi  G H
Bohara  A
Boje  N
Boland  S M
Bollinger  D E
Bolton  B A
Bolus  J B
Bond  G E
Bond  S E
Bonner  N E
Bonnor  G J
Boock  S L
Boon  D C
Booth  B C
Booth  W
Bopara  R S
Borde  C G
Borden  D C
Border  A R
Borren  P W
Borthwick  S G
Bosanquet  B J T
Bosch  T
Bose  G
Bosman  L L
Boteju  J W H
Botha  A C
Botha  J
Botham  I T
Botten  J T
Boucher  M V
Boult  T A
Bowden  M P
Bowes  W E
Bowley  E H
Boyce  C J
Boyce  K D
Boycott  G
Boyle  H F
Bracewell  B P
Bracewell  D A J
Bracewell  J G
Bracken  N W
Bradburn  G E
Bradburn  W P
Bradley  W M
Bradman  D G
Bradshaw  I D R
Brain  D H
Brandes  E A
Brann  W H
Brathwaite  C R
Brathwaite  K C
Braund  L C
Bravo  D J J
Bravo  D M
Bray  J P
Brearley  J M
Brearley  W
Breese  G R
Brennan  D V
Brent  G B
Bresnan  T T
Briant  G A
Briggs  D R
Briggs  J
Bright  R J
Brinkley  J E
Briscoe  A W
Britton  S A
Broad  B C
Broad  S C J
Brockwell  W
Bromfield  H D
Bromley  E H
Bromley-Davenport  H R
Brookes  D
Broom  N T
Brown  A
Brown  A D
Brown  D
Brown  D J
Brown  D R
Brown  F R
Brown  G
Brown  J T
Brown  L S
Brown  R D
Brown  S J E
Brown  V R
Brown  W A
Browne  B S
Browne  C O
Browne  C R
Browne  P A
Brownlie  D G
Bruce  T C
Bruce  W
Bruk-Jackson  G K
Bryan  H R
Bryson  R E
Buckenham  C P
Budayair  N B
Budge  D E
Bulfin  C E
Bumrah  J J
Burge  P J P
Burger  A J
Burger  C G D
Burger  L J
Burger  S F
Burgess  M G
Burke  C
Burke  J W
Burke  S F
Burl  R P
Burmester  M G
Burn  K E
Burnett  C G
Burns  J A
Burns  R J
Burton  F J
Burtt  T B
Butchart  I P
Butcher  A R
Butcher  B F
Butcher  M A
Butcher  R O
Butler  D C
Butler  H J
Butler  I G
Butler  L S
Butt  H R
Butt  K H
Butterfield  L A
Buttler  J C
Butts  C G
Buurman  A F
Buys  I D
Bynoe  M R
Caddick  A R
Cairns  B L
Cairns  C L
Callaghan  D J
Callaway  S T
Callen  I W
Callender  R G
Calthorpe  F S G
Camacho  G S
Cameron  F J
Cameron  F J
Cameron  H B
Cameron  J H
Cameron  S J
Cameron-Dow  J
Campbell  A D R
Campbell  G D
Campbell  J D
Campbell  R J
Campbell  S L
Campbell  T
Cann  L O B
Canning  T K
Cantrell  P E
Capel  D J
Carberry  M A
Carew  G M
Carew  M C
Carey  A T
Carkeek  W
Carlisle  S V
Carlson  P H
Carlstein  P R
Carr  A W
Carr  D B
Carr  D W
Carroll  K E D
Carter  C
Carter  C P
Carter  H
Carter  J L
Carter  N M
Cartwright  H W R
Cartwright  T W
Casson  B
Catterall  R H
Cave  H B
Celestine  J J
Chahal  Y S
Chahar  D L
Chakabva  R W
Challenor  G
Chalmers  S J
Chameera  P V D
Chandana  U D U
Chanderpaul  S
Chandimal  L D
Chandra  V D
Chandran  P
Chandrasekhar  B S
Chandrasekhar  V B
Chandrika  R
Chang  H S
Chapman  A P F
Chapman  H W
Chapman  M S
Chappell  C J D
Chappell  G S
Chappell  I M
Chappell  T M
Chapple  G
Chapple  M E
Chari  B B
Charles  J
Charlton  P C
Charlwood  H R J
Chase  P K D
Chase  R L
Chatara  T L
Chatfield  E J
Chattergoon  S
Chatterjee  U
Chatterton  W
Chauhan  C P S
Chauhan  R K
Chawla  P P
Cheetham  J E
Cheruparambil  M
Chevalier  G A
Chibhabha  C J
Chigumbura  E
Chikkannaiah  V B
Childs  J H
Chilia  J W
Chinouya  M T
Chipperfield  A G
Chirag Suri
Chisoro  T S
Chopra  A
Chopra  N
Chowdhury  N R
Christian  D O
Christian  D T
Christiani  C M
Christiani  R J
Christie  K
Christopherson  S
Christy  J A J
Chubb  G W A
Chudasama  D N
Chumney  D R
Clark  E W
Clark  S R
Clark  W M
Clarke  C B
Clarke  M J
Clarke  N E
Clarke  R
Clarke  S T
Clay  J C
Cleverley  D C
Cloete  G L
Close  D B
Cochran  J A K
Codrington  A
Codrington  G R
Coen  S K
Coetzer  K J
Colah  S H M
Coldwell  L J
Coleman  F R J
Colley  D J
Collinge  R O
Collingwood  P D
Collins  H L
Collins  P T
Collymore  C D
Colquhoun  I A
Coman  P G
Commaille  J M M
Commins  J B
Compton  D C S
Compton  N R D
Coney  J V
Congdon  B E
Coningham  A
Connell  P
Connolly  A N
Constantine  L N
Contractor  N J
Conyngham  D P
Cook  A N
Cook  C
Cook  F J
Cook  G
Cook  N G B
Cook  S C
Cook  S H
Cook  S J
Cooper  A H C
Cooper  B B
Cooper  B N
Cooper  T L W
Cooper  W H
Cope  G A
Copeland  T A
Copson  W H
Cork  D G
Corling  G E
Cornford  W L
Cosgrove  M J
Cosier  G J
Cottam  J T
Cottam  R M H
Cotter  A
Cottrell  S S
Coulter-Nile  N M
Coulthard  G
Coventry  C J
Coventry  C K
Cowan  E J M
Cowans  N G
Cowdrey  C S
Cowdrey  M C
Cowie  J
Cowper  R M
Cox  J L
Coxon  A
Craig  I D
Craig  M D
Crandon  R T
Crane  M S
Cranston  J
Cranston  K
Crapp  J F
Crawford  J N
Crawford  W P A
Crawley  J P
Cremer  A G
Cresswell  G F
Cripps  G
Crisp  R J
Crocker  G J
Crockwell  F S
Croft  C E H
Croft  R D B
Cromb  I B
Cronje  W J
Crookes  D N
Cross  M H
Crowe  J J
Crowe  M D
Cuffy  C E
Cullen  D J
Cullinan  D J
Cumming  C D
Cummins  A C
Cummins  M L
Cummins  P J
Cunis  R S
Curnow  S H
Curran  K M
Curran  S M
Curran  T K
Curtis  T S
Cusack  A R
Cutinho  J
Cuttell  W R
Cutting  B C J
Da Costa  O C
Dabengwa  K M
Daesrath  D
Dahiya  V
Dahyabhai Ahir  D K
Dai  M D
Dala  C J
Dale  A C
Dalpat  A
Dalrymple  J W M
Dalton  E L
Dananjaya  A
Dani  H T
Daniel  W W
Danladi  I
D'Arcy  J W
Darling  J
Darling  L S
Darling  W M
Das  S  S
Dasgupta  D
Dassanayake  P B
Davey  J H
David  N A
David  R R
Davids  H
Davidson  A K
Davies  A G
Davies  E Q
Davies  S G
Davies  S M
Davin  N
Davis  B A
Davis  C A
Davis  H T
Davis  I C
Davis  S P
Davis  W W
Davison  J M
Dawlat Ahmadzai
Dawlat Zadran
Dawood  J J
Dawson  A C
Dawson  E W
Dawson  L A
Dawson  O C
Dawson  R K J
De Alwis  R G
de Bruyn  T B
de Bruyn  Z
De Caires  F I
De Courcy  J H
De Freitas  P A J
de Grandhomme  C
De Groen  R P
De Groot  N A
de Grooth  T N
de Kock  Q
de Lange  C D
de Lange  M
de Leede  B F W
de Leede  T B M
De Mel  A L F
De Saram  S I
de Silva  A M
De Silva  D L S
de Silva  D M
De Silva  D S
De Silva  E A R
De Silva  G N
de Silva  G R A
de Silva  K S C
de Silva  P A
de Silva  P C
de Silva  P W H
de Silva  S K L
de Silva  S T
de Silva  W R S
de Villiers  A B
De Villiers  P S
de Wet  F
Dean  A S
Dean  H
Deane  H G
Dekker  M H
Dell  A R
Dempster  C S
Dempster  E W
Denly  J L
Denness  M H
Dennis  F A
Denton  D
Deonarine  N
Depeiza  C
Dernbach  J W
Desai  J H
Desai  P A
Desai  R B
Devcich  A P
Dewdney  D T
Dewes  J G
Dexter  E R
Dhaniram  S
Dhanraj  R
Dharmani  P
Dharmasena  H D P K
Dhawan  R
Dhawan  S
Dhillon  H S
Dhiman Ghosh
Dhoni  M S
Di Venuto  M J
Diamanti  B J
Dias  R L
Dick  A E
Dickinson  G R
Dickwella  N
Diepeveen  W P
Dighe  S S
Dilawar Hussain
Dilhara  L H D
Dilley  G R
Dillon  M V
Dilshan  T M
Dinda  A B
Dipakkumar Patel  N
Dippenaar  H H
Dipper  A E
Divecha  R V
Dixon  C D
Dockrell  G H
Dodemaide  A I C
Doggart  G H G
Doherty  X J
Dolar Mahmud
D'Oliveira  B L
Dollery  H E
Dolphin  A
Donald  A A
Donnan  H
Donnelly  M P
Doolan  A J
Dooland  B
Dorey  B R
Doriga  K
Doshi  D R
Douglas  C R M
Douglas  J W H
Douglas  M W
Doull  S B
Dowe  U G
Dower  R R
Dowlin  T M
Dowling  G T
Downton  P R
Dowrich  S O
Drakes  V C
Draper  R G
Dravid  R
Druce  N F
Drum  C J
Drummond  G D
D'Souza  A
du Plessis  F
Du Preez  J H
Du Toit  J F
Ducat  A
Duckett  B M
Duckworth  C A R
Duckworth  G
Duers  K G
Duff  R A
Duffin  T
Dujon  P J L
Dukanwala  S F
Duleepsinhji  K S
Dumbrill  R
Duminy  J P
Duminy  J-P
Duncan  J R F
Dunell  O R
Dunk  B R
Dunn  J
Dunning  J A
Dunusinghe  C I
Durani  S A
Durham  H
Durston  F J
Dutta  G
Dutta  N
Dyer  D V
Dyer  G C
Dyer  N R
Dymock  G
Dyson  J
Eady  C J
Eaglestone  P S
Ealham  M A
Eastwood  K H
Ebadot Hossain
Ebelling  H I
Ebrahim  D D
Edgar  B A
Edmonds  P H
Edness  J
Edrich  J H
Edrich  W J
Edwards  F H
Edwards  G N
Edwards  J D
Edwards  K A
Edwards  R
Edwards  R M
Edwards  S
Edwards  W J
Ehsan Adil
Ehsan Khan
Ehsan Nawaz
Ehsanul Haque
Ehteshamuddin
Eksteen  C E
Elgar  D
Elgie  M K
Elias Sunny
Elliott  G D
Elliott  H
Elliott  M T G
Ellis  A M
Ellison  R M
Elworthy  S
Embuldeniya  L
Emburey  J E
Emery  P A
Emery  R W G
Emery  S H
Emmett  G M
Emmett  T
Emrit  R R
Enamul Haque
Enamul Haque
Endean  W R
Engineer  F M
Eranga  R M S
Erasmus  M G
Ervine  C R
Ervine  S M
Esmeijer  J
Essop-Adam  E A
Evans  A C
Evans  A J
Evans  C N
Evans  E
Evans  T G
Ewing  G M
Fagg  A E
Fahad Alhashmi
Fahad Nawaz
Fahad Tariq
Fahad Usman
Faheem Ashraf
Fahim Muntasir
Fairbrother  N H
Fairfax  A G
Faisal Athar
Faisal Hossain
Faisal Iqbal
Faisal Javed
Faisal Khan
Faizan Asif
Fakhar Zaman
Fane  F L
Faran Afzal
Fareed Ahmad
Farhad Reza
Farhan Adil
Farhan Ahmed
Faridi  A S
Farnes  K
Farooq Hamid
Farrer  W S
Farrimond  W
Farrukh Zaman
Faruk Ahmed
Faulkner  G A
Faulkner  J P
Favell  L E
Fawad Ahmed
Fawad Alam
Fayyaz Ahmed
Fayyaz Butt
Fazal  F Y
Fazal Mahmood
Fazle Mahmud
Fazl-E-Akbar
Fellows-Smith  J P
Fender  P G H
Ferguson  C J
Ferguson  L H
Ferguson  W
Fernandes  M P
Fernandes  N
Fernando  A M
Fernando  B
Fernando  B O P
Fernando  C R D
Fernando  E R
Fernando  E R N
Fernando  K  H
Fernando  K A D
Fernando  M V T
Fernando  T C B
Fernando  T L
Fernando  U N K
Fernando  W I A
Ferreira  N
Ferris  J J
Fiaz Ahmad
Fiaz Ahmed
Fichardt  C G
Fida Hussain
Fielder  A
Finch  A J
Findlay  S E
Findlay  T M
Fingleton  J H
Finlason  C E
Finn  S T
Fisher  F E
Fishlock  L B
Flannigan  R
Flavell  J A
Fleetwood-Smith  L O
Fleming  D W
Fleming  M V
Fleming  S P
Fletcher  A D S
Fletcher  D A G
Fletcher  K W R
Flintoff  A
Floquet  C E
Flower  A
Flower  G W
Flowers  K K
Flowers  W
Flynn  D R
Foakes  B T
Foggo  C R
Foley  H
Ford  F G J
Forrest  P J
Foster  F R
Foster  J S
Foster  M L C
Foster  N A
Foster  R E
Fothergill  A J
Fourie  M J
Fournier  O
Fowler  G
France  H N Ya
Francis  B C
Francis  G N
Francis  H H
Francois  C M
Frank  C N
Frank  W H B
Franklin  J E C
Franklin  T J
Franks  P J
Frasat Ali
Fraser  A R C
Frederick  M C
Fredericks  R C
Freeman  A P
Freeman  D L
Freeman  E W
Freer  F W
French  A N
French  B N
Friend  T J
Fry  C B
Frylinck  J N
Frylinck  R
Fudadin  A B
Fuller  E R H
Fuller  R L
Fullerton  G M
Fulton  P G
Funston  K J
Furlonge  H A
Gabriel  R S
Gabriel  S T
Gadkari  C V
Gaekwad  A D
Gaekwad  D K
Gaekwad  H G
Gallage  I S
Gallian  J E R
Gallichan  N
Gamage  J C
Gamage  P L S
Gambhir  G
Gamsy  D
Gandhi  D J
Gandotra  A
Ganegama  W C A
Ganesan  V
Ganesh  D
Ganga  D
Ganguly  S C
Gannon  J B
Ganteaume  A G
Gardiner  H J W
Garner  J
Garrett  T W
Garrick  L V
Garwe  T N
Gaskin  B B M
Gatting  M W
Gauchan  S P
Gaunt  R A
Gavaskar  R S
Gavaskar  S M
Gavera  W T
Gay  L H
Gayle  C H
Gazi Ashraf
Geary  G
Gedye  S G
Geeves  B
Gehrs  D R A
George  P R
Germon  L K
Getkate  S C
Ghai  R S
Ghavri  K D
Ghazali  M E Z
Gholam Nousher
Ghorpade  J M
Ghulam Abbas
Ghulam Ahmed
Ghulam Ali
Ghulam Shabber
Gibb  P A
Gibbons  T
Gibbs  G L
Gibbs  H H
Gibbs  L R
Gibson  O D
Giddins  E S H
Giffen  G
Giffen  W F
Gifford  N
Gilbert  D R
Gilchrist  A C
Gilchrist  R
Giles  A F
Gillespie  J N
Gillespie  M R
Gillespie  P G
Gillespie  S R
Gilligan  A E R
Gilligan  A H H
Gilmour  G J
Gimblett  H
Gladstone  G
Gladwin  C
Gleeson  J W
Gleeson  R A
Glover  G K
Goddard  J D C
Goddard  T L
Goddard  T W J
Golam Faruq
Gomes  H A
Gomez  G E
Gondaria  D M
Gony  M
Gooch  G A
Goodwin  M W
Goodwin  R
Goonasekera  Y
Goonatillake  F R M
Goonatillake  H M
Gopalan  M J
Gopinath  C D
Gordon  J O A
Gordon  N
Gordon  T G
Gore  K
Goudie  G
Gough  D
Gouka  E
Gould  I J
Gover  A R
Gower  D I
Grace  E M
Grace  G F
Grace  W G
Graf  S F
Graham  H
Graham  R
Grandia  V
Grant  G C
Grant  R S
Graveney  T W
Gray  A H
Gray  E J
Grayson  A P
Greatbatch  M J
Green  Z E
Greenhough  T
Greenidge  A E
Greenidge  C G
Greenidge  G A
Greenwood  A
Gregory  D W
Gregory  E J
Gregory  J M
Gregory  R G
Gregory  S E
Greig  A W
Greig  I A
Grell  M G
Grieve  B A F
Grieveson  R E
Griffin  G M
Griffith  A F G
Griffith  C C
Griffith  H C
Griffith  S C
Grimmett  C V
Gripper  T R
Groenewald  Z
Groube  T U
Grout  A T W
Gruitjers  T J G
Guard  G M
Gudhka  R D
Guest  C E J
Guha  S
Guillen  S C
Gul Mahomed
Gulbadin Naib
Gunaratne  D A S
Gunaratne  P W
Gunasekera  R
Gunathilaka  M D
Gunawardene  A A W
Gunawardene  D A
Guneratne  R P W
Gunn  G
Gunn  J R
Gunn  W
Gupta  S K
Gupte  B P
Gupte  S P
Guptill  M J
Gurdeep Singh
Gurkeerat Singh
Gurney  H F
Gursharan Singh
Guruge  A M
Gurusinha  A P
Guy  J W
Haafiz Shahid
Habib  A
Habibul Bashar
Haddin  B J
Hadlee  B G
Hadlee  D R
Hadlee  R J
Hadlee  W A
Hafizur Rahman
Haig  N E
Haigh  S
Haire  R S
Hairs  O J
Hales  A D
Hall  A E
Hall  A J
Hall  G G
Hall  J D
Hall  W W
Halliwell  E A
Hallows  C
Halse  C G
Hameed  H
Hamence  R A
Hamid Hassan
Hamilton  G M
Hamilton  L J
Hammad Azam
Hammond  J R
Hammond  W R
Hamoud Amanullah
Hampshire  J H
Hamza  Z
Hamza Tahir
Hamza Tariq
Hands  P A M
Hands  R H M
Handscomb  P S P
Hanif Mohammad
Hanley  M A
Hannan Sarkar
Hansra  A S
Hanumant Singh
Haq  R M
Harbhajan Singh
Hardikar  M S
Hardinge  H T W
Hardstaff  J
Hardstaff  J
Harford  N S
Harford  R I
Harilal Shah
Haris Sohail
Harmer  S R
Harmison  S J
Haroon Mughal
Haroon Rashid
Harper  R A
Harris  C Z
Harris  J V
Harris  L
Harris  M S
Harris  P G Z
Harris  P L
Harris  R J
Harris  R M
Harris  T A
Harry  J
Hart  M N
Hart  R G
Hart  R T
Hartigan  G P D
Hartigan  R  M
Hartkopf  A E V
Hartland  B R
Hartley  J C
Harun-Ur-Rashid
Harvey  I J
Harvey  M R
Harvey  R L
Harvey  R N
Harvinder Singh
Harwood  S M
Hasan Ali
Hasan Jamil
Hasan Raza
Haseeb Ahsan
Haseeb Amjad
Hasheem Shahzad
Hashmatullah Shahidi
Hasibul Hussain
Haslam  M J
Hassan Rasheed
Hassett  A L
Hasti Gul
Hastings  B F
Hastings  J W
Hathorn  C M H
Hathurusingha  U C
Hauritz  N M
Hawke  Lord
Hawke  N J N
Hayden  M L
Hayes  E G
Hayes  F C
Hayes  J A
Hayes  R L
Haynes  D L
Haynes  R C
Hayward  M
Hayward  T W
Hazare  V S
Hazlewood  J R
Hazlitt  G R
Hazratullah Zazai
Head  T M
Headley  D W
Headley  G A
Headley  R G A
Healy  I A
Heaney  S P
Hearne  A
Hearne  F
Hearne  G A L
Hearne  G G
Hearne  J T
Hearne  J W
Heazlett  S D
Hegg  W K
Heggelman  T J
Heine  P S
Hemmings  E E
Hemp  D L
Hemraj  C
Henderson  C W
Henderson  M
Henderson  T
Hendren  E H
Hendrick  M
Hendricks  B E
Hendricks  R R
Hendriks  J L
Hendry  H S T
Hennessy  P D
Henriques  M C
Henry  C C
Henry  M J
Henry  O
Herath  H M R K B
Heron  J G
Heseltine  C
Hetmeyer  S O
Hettiarachchi  D
Heyn  P D
Hibbert  P A
Hick  G A
Higgins  R S
Higgs  J D
Higgs  K
Hilditch  A M J
Hilfenhaus  B W
Hill  A
Hill  A J L
Hill  C
Hill  J
Hill  J C
Hilton  M J
Hime  C F W
Hindlekar  D D
Hinds  R O
Hinds  W W
Hira  R M
Hiri  H
Hirschi  J
Hirst  G H
Hirugade  S
Hirwani  N D
Hitch  J W
Hitchcock  P A
Hoad  E L G
Hoare  D E
Hobbs  J B
Hobbs  R N S
Hodge  B J
Hodges  J H
Hodsoll  K C
Hoffmann  P J C
Hogan  T G
Hogg  G B
Hogg  R M
Hogg  V R
Hoggard  M J
Hohns  T V
Holder  J O
Holder  R I C
Holder  V A
Holding  M A
Hole  G B
Holford  D A J
Holland  J M
Holland  R G
Hollies  W E
Hollioake  A J
Hollioake  B C
Hollis  D W
Holmes  E R T
Holmes  P
Holt  J K
Hondo  D T
Hone  L
Hookes  D W
Hooper  C K
Hooper  C L
Hope  K A
Hope  S D
Hopes  J R
Hopkins  A J Y
Hopkins  G J
Hopwood  J L
Horan  T P
Hordern  H V
Hornby  A N
Horne  M J
Horne  P A
Hornibrook  P M
Horton  M J
Hough  K W
Houghton  D L
How  J M
Howard  A B
Howard  N D
Howarth  G P
Howarth  H J
Howell  H
Howell  L G
Howell  W P
Howorth  R
Huckle  A G
Hudson  A C
Hughes  K J
Hughes  M G
Hughes  P J
Humayun Farhat
Humpage  G W
Humphries  J
Hunt  W A
Hunte  C C
Hunte  E A C
Hunter  J
Hurdle  K A D
Hurley  R O
Hurst  A G
Hurwood  A
Hussain  N
Hussain  R O
Hussain Talat
Hussey  D J
Hussey  M E K
Hutchings  K L
Hutchinson  E H
Hutchinson  P
Hutton  L
Hutton  R A
Hyatt  D P
Hyde  G M
Hylton  L G
Ibrahim  K C
Ibrahim Hassan
Ibrahim Khan
Ibrahim Nashath
Ibrahim Rizan
Ibrarul Haq
Iddon  J
Ifill  N
Iftikhar Ahmed
